space_group,n_formula,material,n_primitive,mp_id,sigmaA_300,sigmaA_500,sigmaA_700,source,kappa_exp,bandgap,kappa_bte,ref_exp,ref_bte,kappa_aiGK,comment,use
225,2,LiH,2,mp-23703,0.26,0.34,0.4,Ramprasad,15,2.74428159,,,,,,y
225,2,LiI,2,mp-22899,0.47,0.62,0.72,ICSD_exp,,4.3115971,,,,,,y
225,2,MgO,2,mp-1265,0.17,0.22,0.26,Ramprasad,60,4.4913664,54,MorelliSlack,aapl,44.2 +- 7.6,,y
225,2,NaBr,2,mp-22916,0.39,0.5,0.59,Ramprasad,2.3-2.8,4.0649551,2.74,"Sigalas, MorelliSlack",aapl,1.4 +/- 1.4,,y
225,2,NaCl,2,mp-22862,0.36,0.48,0.56,Ramprasad,6-7.1,4.97135017,6.5,"Hakansson, MorelliSlack","aapl, Ravichandran/Broido",5.1 +/- 4.6,,y
225,2,NaF,2,mp-682,0.33,0.44,0.53,Ramprasad,16.5,6.12048873,21.1,MorelliSlack,aapl,8.0 +/- 3.6,,y
225,2,NaI,2,mp-23268,0.36,0.45,0.53,Ramprasad,1.33-1.8,3.58290706,1.46,"Hakansson, MorelliSlack",aapl,0.7 +/- 0.1,,y
225,2,PbTe,2,mp-19717,0.29,0.37,0.44,AAPL,2.5,0.54199791,1.73,[80],aapl,,Z=82,
225,2,RbBr,2,mp-22867,0.44,0.55,0.64,Ramprasad,3.38-3.8,4.15980995,1.68,"Andersson, MorelliSlack",aapl,,,y
225,2,RbCl,2,mp-23295,0.36,0.46,0.53,Ramprasad,2.41-2.8,4.85091213,,"Andersson, MorelliSlack",,,,y
225,2,RbF,2,mp-11718,0.41,0.54,0.63,Ramprasad,2.27,5.51032712,,Hakansson,,,,y
225,2,RbI,2,mp-22903,0.41,0.52,0.6,Ramprasad,1.98-2.3,3.80509466,1.64,"Andersson, MorelliSlack",aapl,,,y
225,2,SnTe,2,mp-1883,0.45,0.58,0.66,Ramprasad,1.5,0.11677203,,Spitzer,,,bandluecke,
225,2,SrO,2,mp-2472,0.22,0.29,0.35,Ramprasad,10,3.04155007,,,,,,y
225,2,SrS,2,mp-1087,0.21,0.27,0.32,ICSD_exp,,2.26936751,,,,,,y
225,2,SrTe,2,mp-1958,0.22,0.29,0.34,ICSD_exp,,1.63397574,,,,,,y
225,3,CaF2,3,mp-2741,0.26,0.34,0.4,ICSD_exp,,7.0728831,,,,,,y
225,3,CdF2,3,mp-241,0.35,0.44,0.52,AAPL,4.3,2.89338244,3.01,"[81] Popov, P. A., Fedorov, P. P. & Osiko, V. V. Thermal conductivity of single crystals with a fluorite structure: cadmium fluoride. Phys. Solid State 52, 504–508 (2010).",aapl,,,y
