,reference,deformed
3.469939879759519,8.645676457570892e-07,1.1654942104865772e-29
3.47434869739479,2.5464710620197112e-06,1.1126348532410842e-30
3.4787575150300603,7.1781384714473505e-06,1.0188772015010665e-31
3.4831663326653306,1.936503290235207e-05,9.023030004529155e-33
3.4875751503006014,4.9998614180194134e-05,1.6676522587437256e-33
3.4919839679358717,0.0001235466618543919,1.0753740518231276e-32
3.4963927855711425,0.00029217118677088075,1.199630070937429e-31
3.500801603206413,0.0006612673412862868,1.2903054239696347e-30
3.505210420841683,0.0014323530742240036,1.3307010417339874e-29
3.509619238476954,0.002969315978699706,1.3158175521838116e-28
3.514028056112225,0.005891095549827588,1.2474958552013436e-27
3.518436873747495,0.011185851225025878,1.1339972462954381e-26
3.5228456913827655,0.02032709567983854,9.883609251732674e-26
3.5272545090180363,0.035352077823358516,8.259448963689502e-25
3.531663326653307,0.05884206133736944,6.61789421166381e-24
3.5360721442885774,0.0937333486899826,5.0842061780530184e-23
3.5404809619238478,0.14290048663872165,3.745091868385887e-22
3.544889779559118,0.20850026117554923,2.6450826752554178e-21
3.549298597194389,0.2911473352082806,1.791245131889105e-20
3.5537074148296597,0.3890920490370781,1.1630849262594095e-19
3.55811623246493,0.4976513809870963,7.241194457565123e-19
3.5625250501002004,0.6091600189488893,4.322681672454334e-18
3.566933867735471,0.713626370455549,2.4742444664499065e-17
3.571342685370742,0.8000989660064941,1.357939800887721e-16
3.5757515030060123,0.8585188771093241,7.146106419799481e-16
3.5801603206412826,0.8816359871609815,3.60588847639825e-15
3.584569138276553,0.8664870772834113,1.7446652892619983e-14
3.588977955911824,0.815019860051652,8.094175143030265e-14
3.5933867735470946,0.7336815766675311,3.6007910024457157e-13
3.597795591182365,0.6320920917194922,1.5360061896805966e-12
3.6022044088176353,0.5211784162452422,6.2829486512193434e-12
3.606613226452906,0.4112688472160251,2.464429408277132e-11
3.6110220440881764,0.3105979291477711,9.269573477742366e-11
3.615430861723447,0.22449400802922753,3.3435163051189246e-10
3.6198396793587175,0.15529050243566161,1.1565365492433448e-09
3.624248496993988,0.10280665386116526,3.836559859196387e-09
3.6286573146292587,0.0651394473607425,1.2205877197548704e-08
3.6330661322645295,0.03950580996888697,3.72445000675421e-08
3.6374749498998,0.022945133392239345,1.0900545272245564e-07
3.64188376753507,0.01279192881972949,3.0602741779057947e-07
3.646292585170341,0.006917410468036819,8.242131949110632e-07
3.6507014028056113,0.003795161711814488,2.129790810448617e-06
3.655110220440882,0.002466751910708911,5.2809989287089245e-06
3.6595190380761524,0.0024773478263362195,1.2567713393526034e-05
3.6639278557114228,0.0038314369769608236,2.871154367803136e-05
3.6683366733466936,0.00699416764816167,6.298550015038948e-05
3.6727454909819643,0.012938774224915493,0.00013272806644246335
3.6771543086172347,0.02321578966638647,0.0002687914858483316
3.681563126252505,0.03999597095890084,0.0005234050729953022
3.6859719438877754,0.06602035880832358,0.0009806767694017949
3.690380761523046,0.10438688132570062,0.0017694694701238466
3.694789579158317,0.15812512899080866,0.0030777440182637194
3.6991983967935873,0.22956701467565882,0.005166865602513181
3.7036072144288577,0.31960577113156324,0.008384128692956091
3.7080160320641284,0.42702495342151864,0.013172117964171167
3.7124248496993992,0.5481322316111809,0.020074449944750324
3.7168336673346696,0.6769074991819701,0.02973840642662074
3.72124248496994,0.8057508012275946,0.04291499852663723
3.7256513026052103,0.9267156361697398,0.06045508611699263
3.730060120240481,1.032907470565818,0.08329605951614746
3.734468937875752,1.1196107132876174,0.11242850408824556
3.738877755511022,1.1847549723498763,0.14882910889916529
3.7432865731462925,1.2285526798275967,0.19334849853238856
3.7476953907815633,1.2524597559796282,0.24655314811622905
3.752104208416834,1.2578931895325425,0.3085382708927273
3.7565130260521045,1.2452503546035572,0.37874838515208165
3.760921843687375,1.2136518936716427,0.45585579612622806
3.765330661322645,1.161519382531695,0.5377462242309952
3.769739478957916,1.0877382541256577,0.6216414048882819
3.7741482965931867,0.9929078253592739,0.7043541279499862
3.778557114228457,0.8801508557661015,0.7826324285599086
3.7829659318637274,0.755146768235885,0.8535203946529181
3.787374749498998,0.6253674756494588,0.9146548406731468
3.791783567134269,0.4987892951525284,0.9644340018273406
3.7961923847695394,0.38251112545005483,1.0020311731993898
3.8006012024048097,0.28168588371140735,1.0272703560375251
3.80501002004008,0.19900902154467795,1.0404177843536908
3.809418837675351,0.13479369168394212,1.0419614105837176
3.8138276553106216,0.08748630243883836,1.0324459356809363
3.818236472945892,0.05439127426293896,1.0124074492992328
3.8226452905811623,0.03238366787726904,0.9824182429508537
3.827054108216433,0.018460827801961795,0.943219355814872
3.831462925851704,0.010075071422557477,0.8958942249325712
3.8358717434869742,0.005263525448289186,0.8420256928377537
3.8402805611222446,0.0026321363827031953,0.783780926673282
3.844689378757515,0.0012598615921872625,0.7238824629163384
3.8490981963927857,0.0005771725649814886,0.6654457122836364
3.8535070140280565,0.0002530735216521825,0.6116907521947863
3.857915831663327,0.00010620346453547631,0.5655653909276235
3.862324649298597,4.265564114286986e-05,0.5293422160216417
3.866733466933868,1.6396699557105837e-05,0.5042681842116417
